"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"254","#OneIndiaOneGST <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>  Artificial Intelligence and robotics: Will exit affect Infy's tech edge?... https://t.co/0o363KxXFM",FALSE,0,NA,2017-08-19 16:51:18,FALSE,NA,"898950511168151552",NA,"<a href=""https://www.newswallet.co/"" rel=""nofollow"">News-Wallet-App - Android</a>","Cheena40749328",0,FALSE,FALSE,NA,NA
"255","RT @DeependerSHooda: As one who started out as Software Engineer at @Infosys, I feel sad at ongoing. Infy needs to preserve what it stood f…",FALSE,0,NA,2017-08-19 16:50:27,FALSE,NA,"898950297690587136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ankitgarg_inc",125,TRUE,FALSE,NA,NA
"256","Artificial Intelligence and robotics: Will Vishal Sikka’s exit affect Infy’s tech edge? https://t.co/KWPvzHZRqH https://t.co/iNirNlwSFY",FALSE,0,NA,2017-08-19 16:40:13,FALSE,NA,"898947722371371008",NA,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>","Papi_Dove",0,FALSE,FALSE,NA,NA
"257","#OneIndiaOneGST <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>  Artificial Intelligence and robotics: Will exit affect Infy's tech edge?... https://t.co/qw4JNDLO1k",FALSE,0,NA,2017-08-19 16:38:32,FALSE,NA,"898947298503270404",NA,"<a href=""https://www.newswallet.co/"" rel=""nofollow"">News-Wallet-App - Android</a>","HarvinderKumr",0,FALSE,FALSE,NA,NA
"258","#OneIndiaOneGST <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>  Artificial Intelligence and robotics: Will exit affect Infy's tech edge?... https://t.co/0r8T9iTLm2",FALSE,0,NA,2017-08-19 16:36:24,FALSE,NA,"898946761267396608",NA,"<a href=""https://www.newswallet.co/"" rel=""nofollow"">News-Wallet-App - Android</a>","ArunaJain2000",0,FALSE,FALSE,NA,NA
"259","RT @DeependerSHooda: As one who started out as Software Engineer at @Infosys, I feel sad at ongoing. Infy needs to preserve what it stood f…",FALSE,0,NA,2017-08-19 16:36:14,FALSE,NA,"898946719567593473",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","inc_ramkesh",125,TRUE,FALSE,NA,NA
"260","#infy is planning buyback @ 1150 per share.  Good opportunity for current investors..  https://t.co/plcjImutqw",FALSE,0,NA,2017-08-19 16:35:47,FALSE,NA,"898946606141026305",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","DVSTOCKS",1,FALSE,FALSE,NA,NA
"261","#OneIndiaOneGST <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>  Artificial Intelligence and robotics: Will exit affect Infy's tech edge?... https://t.co/Qj2JsTiKmh",FALSE,0,NA,2017-08-19 16:27:24,FALSE,NA,"898944497257553920",NA,"<a href=""https://www.newswallet.co/"" rel=""nofollow"">News-Wallet-App - Android</a>","Urmilajain10",0,FALSE,FALSE,NA,NA
"262","RT @ndtv: Don't want @Infosys board to drive the institution to
death through serious governance deficits: NR Narayana Murthy (PTI) #Infosy…",FALSE,0,NA,2017-08-19 16:26:19,FALSE,NA,"898944224418189316",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oumbharti",14,TRUE,FALSE,NA,NA
"263","RT @DeependerSHooda: As one who started out as Software Engineer at @Infosys, I feel sad at ongoing. Infy needs to preserve what it stood f…",FALSE,0,NA,2017-08-19 16:23:06,FALSE,NA,"898943413847965696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Khadim_Dar",125,TRUE,FALSE,NA,NA
